Nome da Marca,Tipo,Custo Unitario,Preco Unitario,ID Produto,Categoria
Contoso,Luxo,"43,06","129,95",874,Acessório para Computador
Contoso,Luxo,"43,06","129,95",875,Acessório para Computador
Contoso,Luxo,"43,06","129,95",876,Acessório para Computador
Contoso,Luxo,"43,06","129,95",877,Acessório para Computador
Contoso,Luxo,"43,06","129,95",878,Acessório para Computador
Contoso,Luxo,"49,7",150,883,Acessório para Computador
Contoso,Luxo,"49,7",150,884,Acessório para Computador
Contoso,Luxo,"49,7",150,885,Acessório para Computador
Contoso,Luxo,"49,7",150,886,Acessório para Computador
Contoso,Luxo,"13,22","39,9",799,Acessório para Computador
Contoso,Luxo,"11,23","33,9",762,Acessório para Computador
Contoso,Luxo,"13,22","39,9",764,Acessório para Computador
Contoso,Luxo,"11,23","33,9",797,Acessório para Computador
Contoso,Luxo,"11,23","33,9",827,Acessório para Computador
Contoso,Luxo,"13,22","39,9",829,Acessório para Computador
Contoso,Luxo,"76,5","230,9",850,Acessório para Computador
Contoso,Luxo,"76,5","230,9",851,Acessório para Computador
Contoso,Luxo,"76,5","230,9",852,Acessório para Computador
Contoso,Luxo,"76,5","230,9",853,Acessório para Computador
Contoso,Luxo,"14,24","42,99",1359,Telefone para Casa & Escritório
Contoso,Luxo,"15,57","46,99",1360,Telefone para Casa & Escritório
Contoso,Luxo,"16,56","49,99",1361,Telefone para Casa & Escritório
Contoso,Luxo,"14,24","42,99",1326,Telefone para Casa & Escritório
Contoso,Luxo,"15,57","46,99",1327,Telefone para Casa & Escritório
Contoso,Luxo,"16,56","49,99",1328,Telefone para Casa & Escritório
Contoso,Luxo,"13,92",42,1342,Telefone para Casa & Escritório
Contoso,Luxo,"10,27",31,1343,Telefone para Casa & Escritório
Contoso,Luxo,"13,92",42,1375,Telefone para Casa & Escritório
Contoso,Luxo,"10,27",31,1376,Telefone para Casa & Escritório
Contoso,Luxo,"14,24","42,99",1392,Telefone para Casa & Escritório
Contoso,Luxo,"15,57","46,99",1393,Telefone para Casa & Escritório
Contoso,Luxo,"16,56","49,99",1394,Telefone para Casa & Escritório
Contoso,Luxo,"121,45","366,55",1290,Acessório para Câmera
Contoso,Luxo,"121,45","366,55",1291,Acessório para Câmera
Contoso,Luxo,"121,45","366,55",1292,Acessório para Câmera
Contoso,Luxo,"197,14",595,1293,Acessório para Câmera
Contoso,Luxo,"197,14",595,1294,Acessório para Câmera
Contoso,Luxo,"197,14",595,1295,Acessório para Câmera
Contoso,Luxo,"99,14","299,23",37,Aparelho de Som
Contoso,Luxo,"99,14","299,23",38,Aparelho de Som
Contoso,Luxo,"99,14","299,23",39,Aparelho de Som
Contoso,Luxo,"99,14","299,23",40,Aparelho de Som
Contoso,Luxo,"760,38",2295,575,Projetor
Contoso,Luxo,"827,97",2499,576,Projetor
Contoso,Luxo,"760,38",2295,587,Projetor
Contoso,Luxo,"827,97",2499,588,Projetor
Contoso,Luxo,"760,38",2295,599,Projetor
Contoso,Luxo,"827,97",2499,600,Projetor
Contoso,Luxo,"211,05",637,1076,Câmera Digital SLR
Contoso,Luxo,"214,03",646,1080,Câmera Digital SLR
Contoso,Luxo,"214,03",646,1084,Câmera Digital SLR
Contoso,Luxo,"222,98",673,1088,Câmera Digital SLR
Contoso,Luxo,"222,98",673,1092,Câmera Digital SLR
Contoso,Luxo,"209,39",632,1096,Câmera Digital SLR
Contoso,Luxo,"209,39",632,1100,Câmera Digital SLR
Contoso,Luxo,"72,56",219,1622,Filme DVD
Contoso,Luxo,"72,56",219,1623,Filme DVD
Contoso,Luxo,"72,56",219,1624,Filme DVD
Contoso,Luxo,"72,56",219,1625,Filme DVD
Contoso,Luxo,"72,56",219,1626,Filme DVD
Contoso,Luxo,"7,58","22,89",1630,Filme DVD
Contoso,Luxo,"7,58","22,89",1635,Filme DVD
Contoso,Luxo,"7,58","22,89",1640,Filme DVD
Contoso,Luxo,"86,14","259,99",1649,Filme DVD
Contoso,Luxo,"96,08","289,99",1650,Filme DVD
Contoso,Luxo,"86,14","259,99",1654,Filme DVD
Contoso,Luxo,"96,08","289,99",1655,Filme DVD
Contoso,Luxo,"86,14","259,99",1659,Filme DVD
Contoso,Luxo,"96,08","289,99",1660,Filme DVD
Contoso,Luxo,"43,07","129,99",2512,Acessórios para Telefone & Tablet
Contoso,Luxo,"43,07","129,99",2513,Acessórios para Telefone & Tablet
Contoso,Luxo,"43,07","129,99",2514,Acessórios para Telefone & Tablet
Wide World Importers,Luxo,"98,07",296,53,Caneta Gravadora
Wide World Importers,Luxo,"98,07",296,54,Caneta Gravadora
Wide World Importers,Luxo,"98,07",296,55,Caneta Gravadora
Wide World Importers,Luxo,"98,07",296,56,Caneta Gravadora
Wide World Importers,Luxo,"82,83","249,99",111,Fone de Ouvido Bluetooth
Wide World Importers,Luxo,"82,83","249,99",112,Fone de Ouvido Bluetooth
Wide World Importers,Luxo,"82,83","249,99",113,Fone de Ouvido Bluetooth
Wide World Importers,Luxo,"82,83","249,99",114,Fone de Ouvido Bluetooth
Wide World Importers,Luxo,"82,83","249,99",115,Fone de Ouvido Bluetooth
Adventure Works,Luxo,"960,82","2899,99",145,Televisão
Adventure Works,Luxo,"960,82","2899,99",146,Televisão
Adventure Works,Luxo,"960,82","2899,99",147,Televisão
Adventure Works,Luxo,"960,82","2899,99",148,Televisão
Adventure Works,Luxo,"527,53","1592,2",161,Televisão
Adventure Works,Luxo,"527,53","1592,2",162,Televisão
Adventure Works,Luxo,"527,53","1592,2",163,Televisão
Adventure Works,Luxo,"527,53","1592,2",164,Televisão
Southridge Video,Luxo,"55,99",169,172,DVD
Southridge Video,Luxo,"55,99",169,185,DVD
Litware,Luxo,"367,43",1109,204,Home Theater
Litware,Luxo,"367,43",1109,220,Home Theater
Litware,Luxo,"367,43",1109,236,Home Theater
Wide World Importers,Luxo,"827,97",2499,634,Projetor
A. Datum,Luxo,"96,08",290,950,Câmera Digital
A. Datum,Luxo,"143,26",281,951,Câmera Digital
The Phone Company,Luxo,"142,56",310,1521,Tablet
The Phone Company,Luxo,"125,9",380,1522,Tablet
The Phone Company,Luxo,"151,76",330,1524,Tablet
The Phone Company,Luxo,"133,19",402,1525,Tablet
The Phone Company,Luxo,"100,06",302,1528,Tablet
The Phone Company,Luxo,"128,88",389,1531,Tablet
Fabrikam,Luxo,"530,11",1600,1156,Câmera e Filmadora
Fabrikam,Luxo,"523,49",1580,1157,Câmera e Filmadora
Fabrikam,Luxo,"516,86",1560,1158,Câmera e Filmadora
Fabrikam,Luxo,"503,61",1520,1159,Câmera e Filmadora
Adventure Works,Luxo,"321,05",969,428,Desktop
Adventure Works,Luxo,"321,05",969,433,Desktop
Proseware,Luxo,"75,54",228,690,"Impressora, Scanner & Fax"
Proseware,Luxo,"78,19",236,691,"Impressora, Scanner & Fax"
Proseware,Luxo,"82,17",248,692,"Impressora, Scanner & Fax"
Proseware,Luxo,"75,87",229,693,"Impressora, Scanner & Fax"
A. Datum,Luxo,"96,08",290,978,Câmera Digital
A. Datum,Luxo,"143,26",281,979,Câmera Digital
Southridge Video,Luxo,"330,99",999,302,Sistema Audivisual para Carro
Southridge Video,Luxo,"287,92",869,303,Sistema Audivisual para Carro
Southridge Video,Luxo,"330,99",999,318,Sistema Audivisual para Carro
Southridge Video,Luxo,"287,92",869,319,Sistema Audivisual para Carro
Wide World Importers,Luxo,"304,48",919,450,Desktop
Wide World Importers,Luxo,"304,48",919,455,Desktop
Proseware,Luxo,"271,35",819,461,Monitor
Proseware,Luxo,"287,92",869,462,Monitor
Fabrikam,Luxo,"213,7",645,1112,Câmera Digital SLR
Wide World Importers,Luxo,"271,35",819,517,Monitor
Wide World Importers,Luxo,"287,92",869,518,Monitor
The Phone Company,Luxo,"142,56",310,1489,Tablet
Southridge Video,Luxo,"330,99",999,334,Sistema Audivisual para Carro
Southridge Video,Luxo,"287,92",869,335,Sistema Audivisual para Carro
Adventure Works,Luxo,"430,38",1299,362,Laptop
Adventure Works,Luxo,"430,38",1299,368,Laptop
Adventure Works,Luxo,"430,38",1299,374,Laptop
Wide World Importers,Luxo,"760,38",2295,622,Projetor
Wide World Importers,Luxo,"827,97",2499,623,Projetor
Wide World Importers,Luxo,"760,38",2295,633,Projetor
Adventure Works,Luxo,"430,38",1299,380,Laptop
Adventure Works,Luxo,"430,38",1299,386,Laptop
Wide World Importers,Luxo,"430,38",1299,390,Laptop
Wide World Importers,Luxo,"430,38",1299,396,Laptop
Wide World Importers,Luxo,"430,38",1299,402,Laptop
Proseware,Luxo,"430,38",1299,404,Laptop
Proseware,Luxo,"430,38",1299,410,Laptop
Adventure Works,Luxo,"321,05",969,416,Desktop
Adventure Works,Luxo,"321,05",969,422,Desktop
Wide World Importers,Luxo,"304,48",919,438,Desktop
Wide World Importers,Luxo,"304,48",919,444,Desktop
Proseware,Luxo,"271,35",819,475,Monitor
Proseware,Luxo,"287,92",869,476,Monitor
Adventure Works,Luxo,"271,35",819,489,Monitor
Adventure Works,Luxo,"287,92",869,490,Monitor
Adventure Works,Luxo,"271,35",819,503,Monitor
Adventure Works,Luxo,"287,92",869,504,Monitor
Wide World Importers,Luxo,"271,35",819,528,Monitor
Wide World Importers,Luxo,"287,92",869,529,Monitor
