Nome da Marca,Tipo,Custo Unitario,Preco Unitario,ID Produto,Categoria
Contoso,Regular,"11,91","25,9",839,Acessório para Computador
Contoso,Regular,"18,35","39,9",840,Acessório para Computador
Contoso,Regular,"5,29","11,5",775,Acessório para Computador
Contoso,Regular,"10,99","23,9",776,Acessório para Computador
Contoso,Regular,"9,17","19,95",780,Acessório para Computador
Contoso,Regular,"7,59","16,5",781,Acessório para Computador
Contoso,Regular,"7,59","16,5",784,Acessório para Computador
Contoso,Regular,"4,37","9,5",785,Acessório para Computador
Contoso,Regular,"5,29","11,5",788,Acessório para Computador
Contoso,Regular,"9,17","19,95",810,Acessório para Computador
Contoso,Regular,"7,59","16,5",811,Acessório para Computador
Contoso,Regular,"7,59","16,5",814,Acessório para Computador
Contoso,Regular,"4,37","9,5",815,Acessório para Computador
Contoso,Regular,"5,29","11,5",818,Acessório para Computador
Contoso,Regular,"9,17","19,95",745,Acessório para Computador
Contoso,Regular,"7,59","16,5",746,Acessório para Computador
Contoso,Regular,"7,59","16,5",749,Acessório para Computador
Contoso,Regular,"4,37","9,5",750,Acessório para Computador
Contoso,Regular,"5,29","11,5",753,Acessório para Computador
Contoso,Regular,"13,75","29,9",756,Acessório para Computador
Contoso,Regular,"12,83","27,9",757,Acessório para Computador
Contoso,Regular,"12,83","27,9",758,Acessório para Computador
Contoso,Regular,"10,99","23,9",763,Acessório para Computador
Contoso,Regular,"13,75","29,9",791,Acessório para Computador
Contoso,Regular,"12,83","27,9",792,Acessório para Computador
Contoso,Regular,"12,83","27,9",793,Acessório para Computador
Contoso,Regular,"10,99","23,9",798,Acessório para Computador
Contoso,Regular,"13,75","29,9",821,Acessório para Computador
Contoso,Regular,"12,83","27,9",822,Acessório para Computador
Contoso,Regular,"12,83","27,9",823,Acessório para Computador
Contoso,Regular,"10,99","23,9",828,Acessório para Computador
Contoso,Regular,"59,32",129,854,Acessório para Computador
Contoso,Regular,"59,32",129,855,Acessório para Computador
Contoso,Regular,"59,32",129,856,Acessório para Computador
Contoso,Regular,"59,32",129,857,Acessório para Computador
Contoso,Regular,"13,77","29,95",858,Acessório para Computador
Contoso,Regular,"13,77","29,95",859,Acessório para Computador
Contoso,Regular,"13,77","29,95",860,Acessório para Computador
Contoso,Regular,"13,77","29,95",861,Acessório para Computador
Contoso,Regular,"13,77","29,95",862,Acessório para Computador
Contoso,Regular,"23,45","50,99",863,Acessório para Computador
Contoso,Regular,"23,45","50,99",864,Acessório para Computador
Contoso,Regular,"23,45","50,99",865,Acessório para Computador
Contoso,Regular,"32,19","69,99",866,Acessório para Computador
Contoso,Regular,"32,19","69,99",867,Acessório para Computador
Contoso,Regular,"32,19","69,99",868,Acessório para Computador
Contoso,Regular,"32,19","69,99",869,Acessório para Computador
Contoso,Regular,"10,57","22,99",1352,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1353,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1354,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1355,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1356,Telefone para Casa & Escritório
Contoso,Regular,"17,93","38,99",1357,Telefone para Casa & Escritório
Contoso,Regular,"18,39","39,99",1358,Telefone para Casa & Escritório
Contoso,Regular,"7,81","16,99",1362,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1363,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1319,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1320,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1321,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1322,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1323,Telefone para Casa & Escritório
Contoso,Regular,"17,93","38,99",1324,Telefone para Casa & Escritório
Contoso,Regular,"18,39","39,99",1325,Telefone para Casa & Escritório
Contoso,Regular,"7,81","16,99",1329,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1330,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1331,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1332,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1333,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1334,Telefone para Casa & Escritório
Contoso,Regular,"18,48","40,19",1335,Telefone para Casa & Escritório
Contoso,Regular,"20,15","43,81",1336,Telefone para Casa & Escritório
Contoso,Regular,"21,82","47,44",1337,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1338,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1339,Telefone para Casa & Escritório
Contoso,Regular,"10,12",22,1345,Telefone para Casa & Escritório
Contoso,Regular,"10,58",23,1346,Telefone para Casa & Escritório
Contoso,Regular,"9,66",21,1347,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1348,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1364,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1365,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1366,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1367,Telefone para Casa & Escritório
Contoso,Regular,"18,48","40,19",1368,Telefone para Casa & Escritório
Contoso,Regular,"20,15","43,81",1369,Telefone para Casa & Escritório
Contoso,Regular,"21,82","47,44",1370,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1371,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1372,Telefone para Casa & Escritório
Contoso,Regular,"10,12",22,1378,Telefone para Casa & Escritório
Contoso,Regular,"10,58",23,1379,Telefone para Casa & Escritório
Contoso,Regular,"9,66",21,1380,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1381,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1385,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1386,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1387,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1388,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1389,Telefone para Casa & Escritório
Contoso,Regular,"17,93","38,99",1390,Telefone para Casa & Escritório
Contoso,Regular,"18,39","39,99",1391,Telefone para Casa & Escritório
Contoso,Regular,"7,81","16,99",1395,Telefone para Casa & Escritório
Contoso,Regular,"10,57","22,99",1396,Telefone para Casa & Escritório
Contoso,Regular,"12,41","26,99",1397,Telefone para Casa & Escritório
Contoso,Regular,"13,33","28,99",1398,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1399,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1400,Telefone para Casa & Escritório
Contoso,Regular,"18,48","40,19",1401,Telefone para Casa & Escritório
Contoso,Regular,"20,15","43,81",1402,Telefone para Casa & Escritório
Contoso,Regular,"21,82","47,44",1403,Telefone para Casa & Escritório
Contoso,Regular,"15,17","32,99",1404,Telefone para Casa & Escritório
Contoso,Regular,"16,55","35,99",1405,Telefone para Casa & Escritório
Contoso,Regular,"11,5",25,1296,Acessório para Câmera
Contoso,Regular,"11,5",25,1297,Acessório para Câmera
Contoso,Regular,"11,5",25,1298,Acessório para Câmera
Contoso,Regular,"11,5",25,1299,Acessório para Câmera
Contoso,Regular,"43,69",95,1300,Acessório para Câmera
Contoso,Regular,"43,69",95,1301,Acessório para Câmera
Contoso,Regular,"43,69",95,1302,Acessório para Câmera
Contoso,Regular,"43,69",95,1303,Acessório para Câmera
Contoso,Regular,"31,27",68,1304,Acessório para Câmera
Contoso,Regular,"31,27",68,1305,Acessório para Câmera
Contoso,Regular,"31,27",68,1306,Acessório para Câmera
Contoso,Regular,"31,27",68,1307,Acessório para Câmera
Contoso,Regular,"94,27",205,1312,Acessório para Câmera
Contoso,Regular,"94,27",205,1313,Acessório para Câmera
Contoso,Regular,"94,27",205,1314,Acessório para Câmera
Contoso,Regular,"94,27",205,1315,Acessório para Câmera
Contoso,Regular,"50,56","109,95",16,Aparelho de Som
Contoso,Regular,"50,56","109,95",17,Aparelho de Som
Contoso,Regular,"50,56","109,95",18,Aparelho de Som
Contoso,Regular,"50,56","109,95",19,Aparelho de Som
Contoso,Regular,"61,62",134,20,Aparelho de Som
Contoso,Regular,"61,62",134,21,Aparelho de Som
Contoso,Regular,"61,62",134,22,Aparelho de Som
Contoso,Regular,"61,62",134,23,Aparelho de Som
Contoso,Regular,"91,93","199,9",24,Aparelho de Som
Contoso,Regular,"91,93","199,9",25,Aparelho de Som
Contoso,Regular,"91,93","199,9",26,Aparelho de Som
Contoso,Regular,"91,93","199,9",27,Aparelho de Som
Contoso,Regular,"91,93","199,9",28,Aparelho de Som
Contoso,Regular,"84,49",255,29,Aparelho de Som
Contoso,Regular,"84,49",255,30,Aparelho de Som
Contoso,Regular,"84,49",255,31,Aparelho de Som
Contoso,Regular,"84,49",255,32,Aparelho de Som
Contoso,Regular,"84,49",255,33,Aparelho de Som
Contoso,Regular,"48,92","95,95",34,Aparelho de Som
Contoso,Regular,"48,92","95,95",35,Aparelho de Som
Contoso,Regular,"48,92","95,95",36,Aparelho de Som
Contoso,Regular,"106,69",232,41,Aparelho de Som
Contoso,Regular,"106,69",232,42,Aparelho de Som
Contoso,Regular,"106,69",232,43,Aparelho de Som
Contoso,Regular,"106,69",232,44,Aparelho de Som
Contoso,Regular,"106,69",232,45,Aparelho de Som
Contoso,Regular,"167,73",329,241,Home Theater
Contoso,Regular,"294,54",889,242,Home Theater
Contoso,Regular,"208,52",409,243,Home Theater
Contoso,Regular,"197,28",429,244,Home Theater
Contoso,Regular,"224,87",489,245,Home Theater
Contoso,Regular,"167,73",329,246,Home Theater
Contoso,Regular,"155,89",339,247,Home Theater
Contoso,Regular,"183,49",399,248,Home Theater
Contoso,Regular,"243,27",529,250,Home Theater
Contoso,Regular,"244,72",480,251,Home Theater
Contoso,Regular,"183,54",360,252,Home Theater
Contoso,Regular,"167,73",329,254,Home Theater
